Brain_LV1,Behav_LV1,Brain_LV2,Behav_LV2,Brain_LV3,Behav_LV3
-1.607969,-0.10175303,-0.16965264,0.15983205,-2.4443059,-0.80497581
1.0649453,-2.3069406,0.4515093,0.046864711,-6.0015116,-0.38710594
-3.1437182,0.80519307,3.8265073,-0.14550047,1.1236911,-0.48433471
2.1634715,0.89503407,-1.0933384,-1.3708452,3.4066927,0.74596465
-5.4134645,-4.8041663,6.0576825,0.85388577,2.4637895,2.0994816
1.528115,-0.37889767,1.2660356,0.0058376393,-2.9509411,-1.3484206
-9.2687635,-7.0260448,2.1125567,0.36982945,0.68034953,-2.0036187
1.9386884,1.2280879,-3.7635162,-0.37761179,0.017333133,0.039298732
-2.9570417,0.39317361,3.229919,0.49925575,1.4826581,-0.81994683
-6.8906875,-0.93922353,3.8822083,5.1983476,3.476187,-0.4898265
-10.082788,-4.466218,2.4313028,-0.47297633,1.7447865,0.96249795
-3.659054,-3.0089452,-1.5168228,-0.42074323,-0.63730001,-0.36843437
0.33794546,-4.5454664,1.4483498,0.54726595,0.67129266,-0.0017848032
-7.0173602,-0.28062034,-1.0361987,0.65752393,-4.518333,-0.72133386
4.0321984,2.080971,-3.2219257,-0.58894479,-3.3255785,0.033451408
-2.2028711,1.115837,-1.9547524,-0.52939552,-1.4544904,0.63631594
-5.6822658,-3.4912882,-0.79118639,-1.0530362,3.8978379,0.4789387
-2.0599711,2.5100217,-2.0694165,0.61186165,-6.448967,-1.5561928
3.2277217,1.893852,-2.633112,-1.4257251,-1.4884259,-1.0809907
5.7576318,0.92204672,1.3675399,-0.23913594,8.3161354,1.2350936
1.7913569,0.92995411,-6.3467083,-1.3741132,6.1256075,0.78756821
0.94461477,-0.54914713,-5.3763347,0.44069037,2.5900815,-0.34437156
-0.34431517,0.29035285,0.94718057,1.4090154,-3.1399012,-2.3109379
-2.0847394,2.3970559,-0.43384135,1.9831628,-2.9454055,-1.073288
0.63907009,0.076930963,0.35473406,2.7971635,-1.0911697,-2.1325243
2.4707534,-0.31133297,1.8167942,2.1336873,6.0781574,1.5727593
2.4400136,0.26768473,2.7783828,0.5083282,0.48874718,-0.17798974
-2.0784781,-0.96575326,-0.76857483,-1.7923172,0.55149746,0.36989936
-6.5915585,-3.0659852,2.3677022,-0.62931174,-3.1407142,0.21311344
-1.8729072,-1.54786,-0.037505198,-0.11492665,0.11016855,-0.27251193
1.1932342,-0.48443747,-1.7290459,-0.74885029,-1.232679,-0.49460837
3.7792082,-1.3591422,3.0442038,-1.4008094,2.2935557,0.82808268
