ID,Comp1_CT,Comp1_SA,Comp1_T1,Comp1_T2,Comp2_CT,Comp2_SA,Comp2_T1,Comp2_T2,Comp3_CT,Comp3_SA,Comp3_T1,Comp3_T2,Comp4_CT,Comp4_SA,Comp4_T1,Comp4_T2
ADB0102,1543.7773733794008,1647.3116275589327,1393.9478543530836,1515.7426427805049,1555.8876250968522,1383.661842809713,1358.2449566681562,1498.2441715451976,1359.9725537635486,1353.9882738285721,1406.6667616856512,1472.0030730427613,1042.2447419335392,1005.6162034643178,951.856973627543,911.8847914055677
ADB0106,1442.044401713712,1564.5396493498354,1354.155453602351,1491.3371685009674,1484.141781794499,1312.9283930543359,1358.248196585578,1510.7405276911145,1306.5359236263535,1314.1703835411245,1378.970201780266,1484.177513890409,981.2659617081299,952.1211955564363,954.5763726206068,894.0133209926729
ADB0107,1554.0187664696477,1731.3556998270767,1591.1865044170975,1500.4308154438065,1592.315070706328,1450.911370508032,1551.3347967445827,1507.8712026380822,1366.9296712626792,1405.8573717973268,1603.8348203281435,1495.0082866241473,1063.1749924435437,1074.152018801757,1081.6711805626135,903.8873922199787
ADB0113,1520.9261080922581,1668.0656414643245,1458.8945297304376,1498.9632593414408,1559.7022619818067,1387.9943868995822,1438.1573997544904,1498.8905124728594,1353.534906481486,1375.494065011832,1482.1228958284914,1479.8965833752256,1025.5271400227837,1025.3095383436746,1003.8436176544607,917.4107098195622
ADB0116,1432.0611426813862,1723.1449680472315,1476.5269234479188,1509.9276777945254,1491.616875790669,1451.2208359533615,1459.854459846482,1509.3747931196335,1292.6135742712672,1433.5924393863324,1507.3239793654348,1473.6568301150016,984.774142675878,1068.452878169967,1025.181165630293,905.3530586540251
ADB0117,1498.47532610171,1585.3578238351727,1516.1066236743407,1514.5685197980044,1519.4674149430437,1344.3575599859228,1475.6221822849416,1516.5428204728926,1351.823607226006,1318.148773894807,1501.187345269001,1461.2286485896107,1013.7648790428582,963.7369884380672,1013.4889680949545,898.4350517721568
ADB0118,1525.9251749175303,1576.1973061507808,1485.772207385214,1526.2753728613936,1537.802526326237,1308.6439158819119,1451.3804915721648,1492.3293224417555,1335.415529373342,1281.0647900589474,1481.8651205028884,1480.4985550364581,1020.4665438569015,964.4584718777177,1021.7383834713656,900.7479548020262
ADB0121,1443.675389585559,1659.0392234314859,1424.6477799177346,1488.2998606767253,1411.8354590351346,1331.5233526695974,1374.9240484109857,1493.2179660571658,1198.5015957049914,1331.0030768630534,1442.3778927979895,1510.7731113018813,898.1062194258943,972.2315683281743,940.8154870026334,915.1859736262529
ADB0134,1588.3736086594008,1716.777847920099,1468.965319867052,1502.5405541198547,1616.4440562871146,1441.2507490404778,1433.649762119044,1506.6155615433534,1409.8286069027795,1446.4973976626666,1496.9943309991922,1481.3310337424948,1079.9327774022383,1059.6764097267348,1008.7989328674043,903.3186836346379
ADB0136,1533.4992197837696,1709.9633560732366,1490.221866639401,1529.1001114827427,1532.3751987985822,1403.2073303335835,1439.7967582999877,1493.471759549889,1300.8952299122343,1363.0320239647183,1470.4546041834108,1448.1806504659805,1026.3231749787046,1022.6383352102677,997.4419763559172,924.2542708164975
ADB0137,1527.2635930093581,1679.6285761290233,1468.5806569187675,1495.6342608607567,1528.3036847767503,1382.9652758942877,1447.2247009921514,1504.3632453922705,1311.3710921408522,1410.6550912689147,1500.251338742232,1484.4918336616724,1015.6305530060848,1006.7913717461794,998.6666837267292,911.1406728410522
ADB0143,1455.8130345328914,1558.4947758522976,1425.0888753215859,1514.9752314923098,1433.035183216704,1323.0499719003988,1358.8853319125012,1498.3280613002958,1240.3457650042333,1282.072903687744,1410.1156452159091,1489.09182111225,944.4215916167423,922.1116002749513,963.4994723828003,907.044288386554
ADB0145,1433.1383101704716,1547.4442735065556,1447.0486568275069,1520.4131661193571,1473.5625776488498,1322.2893065679632,1381.2830040866713,1488.8545556694937,1283.7944966859254,1285.255629424676,1437.0303198174574,1472.5286750878888,954.5765551455103,931.0537322417888,972.1648751972391,920.5123176163311
ADB0146,1484.3783092450253,1575.3330489697457,1465.3516127458297,1490.5785207785405,1482.2290239780457,1305.4418238208063,1433.0249593762207,1495.8625623821251,1307.9533561153823,1274.3040365361642,1490.20584238613,1510.4137136272698,999.2802951417415,959.3323130620352,1007.1620129240325,895.6627570241346
ADB0149,1429.576677705979,1583.186131776323,1635.799546674875,1512.5875481465253,1546.2179623656625,1379.588636774469,1579.4165436645799,1487.5926384831916,1312.0795611885437,1334.1859570993881,1630.6408209864665,1474.759641837043,1011.0359622014173,986.222360522366,1116.9728431595522,928.0895563948194
ADB0151,1560.3182091659264,1670.503723331782,1394.0250797618828,1503.34413144546,1576.1328448661081,1375.7673422982714,1358.8967498837105,1489.1149837605142,1367.088238330258,1355.7310475010568,1420.336180795249,1495.420595326339,1054.1658939522,1028.5921307117253,946.0649991145311,903.7707323692474
ADB0155,1337.8813168585143,1623.8264038940183,1493.830190839303,1553.5206333813264,1473.629808622562,1391.1089556623415,1403.0804246540545,1478.141243973345,1223.8340420790578,1377.5375555997318,1455.5515302355518,1449.163075414771,949.3709898565788,989.9061551372898,1010.7327034862673,941.8806763419833
ADB0163,1519.972001020803,1670.5674978541595,1458.773752179055,1491.9936877448674,1555.760479184494,1393.3845664726844,1428.609157946771,1495.8585150526733,1350.2910381382437,1353.953568331715,1482.0113412308344,1476.1212171146196,1034.7368029322026,1003.0284096427023,989.6468262562789,947.8671150936276
ADB0166,1422.061294756926,1591.8524508020475,1487.3038222825637,1518.5657382504085,1438.2638417376352,1316.7617897759585,1470.242158042239,1485.4027262968082,1280.1477944826572,1298.099896785039,1539.2524916509221,1464.2713342920085,963.0349037495085,947.5967868539985,1024.7755480294607,938.3251939860421
ADB0167,1529.4156222343718,1602.2153784295044,1509.9411030701172,1507.588964809986,1547.8883673309347,1386.732654357653,1475.4245268725776,1501.432850011463,1336.4639501670224,1327.1261425862072,1518.9885647703215,1473.536796606207,1037.6532379662162,997.9670119320325,1025.8929926845524,916.2894931077358
ADB0169,1570.4205280218384,1548.6162129844463,1446.996878992994,1515.898323268177,1603.8296606513838,1314.90821382346,1418.2694326899605,1489.6204497918654,1400.1358026579276,1288.632847345748,1468.3421324224369,1456.8624805682593,1074.1559970483263,956.2600072229084,997.7249008502815,952.6873763480627
ADB0170,1574.4986491879004,1570.0680497061392,1335.8527172148865,1492.1211664335037,1584.3164037887398,1303.363156673495,1319.8485190170725,1495.624628947872,1392.884039397507,1294.9436711134829,1354.403566852526,1494.9376848051643,1064.6456910245868,950.534842557915,924.4886940242403,924.4738602374875
ADB0172,1508.2300281535386,1631.0924760088362,1427.2402275839506,1540.5248405056618,1520.9219865791533,1340.6542226798354,1407.4001044785655,1480.2676817507506,1329.6359630007817,1338.3384602743133,1486.0273399900918,1466.2123608100335,1000.2913312778629,979.1075940415047,1004.8600891053621,893.8785637109913
ADB0173,1537.2336606605245,1569.3253533258294,1409.764824995016,1508.482542201803,1563.1420922155041,1320.1242744851252,1374.0306677505419,1481.8160227268934,1393.8274417404275,1259.961343419737,1412.8937784415593,1471.6778004163261,1059.58424752592,946.5696447592197,968.2048881453828,930.303709781091
ADB0177,1493.2744690288425,1616.8656835870497,1581.276167514593,1509.8549978484732,1540.429333948968,1350.930600875965,1478.1593268743995,1501.3274264935028,1337.720913894682,1345.1109917919716,1540.0052988229181,1482.3147238987244,1020.7855625148368,989.8949422313435,1048.949025524759,925.761716226047
ADB0184,1522.3548191501225,1721.7570897946719,1509.418934469109,1498.9998034195444,1538.8610620149109,1456.805827778184,1465.6252061098235,1505.0965004169536,1334.4138303368713,1421.2291579506266,1553.1679204775412,1496.3118667976394,1010.590263810884,1028.4651907351433,1047.4739076013466,896.6358827133441
ADB0187,1495.7685874828392,1578.9297967135576,1630.342820403226,1531.9242199634616,1522.3331023948817,1312.276653261836,1567.6249489529096,1498.9903775925109,1339.9390926371343,1288.1042906272514,1608.3729438972803,1464.3925993776418,982.4473114070463,943.9010827567157,1083.2767014398548,909.6704153415388
ADB0188,1547.5258706730535,1601.5416293999158,1455.9243026399356,1517.3461976928104,1583.9046495919767,1352.8603669964828,1431.4179677636582,1512.6925156673299,1374.1449305526598,1319.132667457354,1470.893859619192,1444.4393786935836,1067.6904903106704,998.9909354718559,992.67272250537,927.8282483661081
ADB0190,1334.639170074235,1600.9506212095878,1622.474064500175,1528.7462822969592,1411.2522348555947,1338.4629315371976,1466.7468217547623,1496.5609441385964,1251.7824985760356,1302.8981033342604,1523.4562236142704,1453.4177591919774,957.6130179887454,967.0584114186054,1042.4614901157877,951.5038703089594
ADB0195,1520.664785212048,1720.4287169833542,1395.9238479567564,1528.266453065841,1531.4423621580052,1458.7222159600058,1408.1960239134655,1504.8105267938158,1330.861813841191,1397.9377478309796,1452.7220087113942,1459.646900874752,1025.266328319399,1064.2060568108648,975.9632205143374,888.3975225793674
ADB0197,1523.2376664454198,1625.8031252502349,1543.562282630203,1506.679467795628,1532.1704466080546,1365.8020008956576,1488.9187025980984,1492.8178095134745,1341.1259852640346,1338.1175604816028,1553.5458386625653,1460.460061435368,1043.342455966736,971.2734747690236,1051.4765571442927,956.7815893242062
ADB0199,1418.4269420809726,1647.1551924528035,1611.881384586616,1533.3536881101363,1471.6000067716043,1365.1437974392031,1517.8074928586122,1457.6828673561809,1295.868813386338,1338.5850571789563,1584.3954442123286,1449.416964554421,985.1853782473643,973.6422551402321,1083.4431684449848,950.4964542990047
